gene;004 Control R_2016_10_19;008 Control R_2016_10_20;
Klhl13;0.0000354310122800101;0.0000288988993318289;
RGD1566184;2.85559382046693E-07;9.77746526691418E-08;
Dock11;9.51520973390244E-07;1.59640915198731E-06;
Il13ra1;1.21646234951298E-07;1.86896681208271E-07;
Zcchc12;0.0000394473998339953;0.00010331103421873;
Lonrf3;5.28387946816002E-06;0.0000046187707606007;
Gzmbl1;0;0;
Ct47b1;0;0;
RGD1561445;3.02569236933951E-07;1.60506177611732E-07;
Pgrmc1;0.0000113703148169097;0.0000105358677719097;
Akap17b;4.55554840889652E-06;5.21839761281057E-06;
Slc25a43;3.44320698929947E-07;0;
Slc25a5;0.000041163333377016;0.0000384613468891122;
RGD1564541;3.70093206334884E-07;5.6544898689632E-07;
Ube2a;2.88136632787186E-06;2.27044857171529E-06;
LOC100910054;1.53655689148229E-06;2.47248734515108E-06;
Sept6;0.0000023813796842161;3.02149634620038E-06;
Sowahd;3.64938704853896E-07;7.96041419961154E-08;
Rpl39;4.82976788768504E-07;5.27810071930765E-07;
Upf3b;9.64407227092713E-07;1.28318415848086E-06;
Nkap;8.90491675855356E-06;4.08533648298542E-06;
Akap14;5.10501826676976E-06;6.26882618219409E-07;
Ndufa1;0.0000023798333337718;0.0000029704458638333;
Rnf113a1;1.50666078289257E-06;3.10975311232651E-06;
RGD1560927;0;0;
Rhox4g;0;0;
Rhox3;0;0;
Rhox2;0;0;
Rhox5;2.56178723605065E-07;0;
Rhox8;0;0;
LOC100364002;0;0;
LOC108353281;0;0;
LOC691272;0;0;
LOC367975;9.69046278425601E-08;1.51420922275219E-08;
Rhox10;0;0;
Rhox11;0;0;
Rhox12;0;0;
Rhox13;0;0;
Zbtb33;6.26787380088048E-06;6.58854064379805E-06;
LOC100910807;7.48536705068967E-06;5.85523074877949E-06;
Tmem255a;9.8966428434955E-08;4.88873263345709E-08;
LOC108348144;2.45354270494992E-06;4.10610278089745E-06;
LOC108348079;1.79479741567975E-06;3.66438631906031E-06;
LOC108348152;0;0;
LOC103689929;0;0;
Atp1b4;0;0;
LOC100360128;0;0;
Lamp2;0.0000112064016698143;8.42938642745822E-06;
Cul4b;0.0000060173650289045;5.69905088323276E-06;
Mcts1;2.01283282832551E-06;3.29016032543727E-06;
C1galt1c1;6.19777258073905E-06;8.24638342710846E-06;
LOC691215;0;0;
Gria3;6.9070319845229E-07;1.22910525766828E-06;
Thoc2;1.63964692110204E-06;0.0000019347267554708;
Xiap;0.0000126677028396742;0.0000106154719139058;
Stag2;5.47459602295654E-06;6.09188001873533E-06;
Sh2d1a;0;0;
Tenm1;1.43810591319544E-06;4.11951434829897E-06;
